pagePath,screenPageViews,activeUsers,sessions,engagedSessions,post_id
/,4980,2670,3118,2341,
/guidance/,2579,1181,1317,1244,
/for-newcomers/,1985,1170,1433,1288,
/976/,1570,1247,1445,939,976
/contact/,1208,656,813,706,
/about/,1116,774,899,752,
/vision/,901,590,657,603,
/965/,889,683,752,401,965
/441/,838,596,678,415,441
/1176/,733,526,632,361,1176
/1182/,543,367,420,249,1182
/1092/,534,261,352,268,1092
/guidance_category/yotsu/,433,278,288,277,
/guidance_category/sokuwanshou/,349,209,224,217,
/guidance/about-redcord/,340,238,255,250,
/1171/,335,255,285,179,1171
/about-redcord/,329,241,271,246,
/blog/,275,175,194,179,
/voice-1/,270,179,217,186,
/923/,267,193,204,175,923
/1145/,192,116,126,107,1145
/469/,191,108,115,108,469
/980/,178,139,145,106,980
/612/,171,139,147,97,612
/1063/,170,146,159,91,1063
/1173/,148,105,124,79,1173
/guidance_category/gojukata/,141,98,101,95,
/584/,134,103,106,88,584
/317/,132,114,122,74,317
/1157/,125,72,81,67,1157
/1191/,107,75,82,58,1191
/guidance/sokuwanshou-2/,106,69,70,70,
/1169/,105,69,75,58,1169
/guidance/sokuwanshou-3/,102,73,77,74,
/guidance/youtsu-2/,101,67,68,67,
/620/,98,79,88,56,620
/news/,81,52,57,53,
/1079/,79,51,51,47,1079
/news/【自律神経の乱れに気をつけて！】/,76,52,53,40,
/guidance/sokuwanshou-1/,75,53,55,52,
/guidance/youtsu-3/,69,51,52,50,
/1098/,67,35,49,33,1098
/guidance/sokuwanshou-4/,66,51,53,51,
/guidance/youtsu-4/,66,43,53,43,
/1179/,62,41,44,37,1179
/731/,62,46,49,36,731
/808/,61,33,40,28,808
/593/,52,26,49,18,593
/1741/,51,24,28,22,1741
/category/脊柱側弯症/,50,31,33,32,
/guidance/youtsu-1/,49,37,37,36,
/634/,46,26,28,25,634
/616/,45,36,42,23,616
/824/,45,22,34,24,824
/744/,44,38,41,23,744
/932/,44,27,35,22,932
/1569/,43,32,34,25,1569
/news/【開業10年。ここからが本当のスタート！】/,42,35,36,31,
/898/,41,28,29,27,898
/796/,40,25,25,21,796
/1497/,39,25,26,20,1497
/1122/,38,25,28,24,1122
/888/,37,24,26,18,888
/459/,35,22,23,18,459
/892/,35,24,27,20,892
/1137/,33,27,28,16,1137
/blog/page/2/,33,26,26,26,2
/tag/名古屋市/page/12/,33,27,27,6,12
/guidance/gojukata-3/,32,26,26,24,
/1460/,31,25,27,13,1460
/589/,31,20,20,19,589
/news/【ホームページリニューアルのお知らせ】/,31,25,27,25,
/1668/,30,20,22,15,1668
/323/,30,18,18,14,323
/news/sample-news5/,29,27,29,23,
/1087/,26,16,17,13,1087
/1101/,26,20,22,14,1101
/1185/,25,21,21,21,1185
/1714/,25,14,18,15,1714
/guidance/gojukata-2/,25,19,20,20,
/599/,24,20,20,19,599
/1142/,23,20,22,15,1142
/1700/,23,15,16,12,1700
/602/,23,19,20,14,602
/917/,23,17,20,16,917
/news/【冬の腰痛対策でやってはいけない3つのこと】/,23,21,22,18,
/703/,22,15,16,12,703
/tag/chikusaku/page/2/,22,19,19,4,2
/1564/,20,13,13,13,1564
/1699/,20,13,15,13,1699
/1734/,20,14,18,11,1734
/news/【風邪と腰痛の意外な関係】/,20,19,19,15,
/tag/側弯症解説シリーズ/,20,6,7,7,
/1581/,19,6,8,8,1581
/814/,19,12,14,11,814
/tag/脊柱側弯症/,19,15,15,12,
/1159/,18,16,16,13,1159
/category/脊柱側弯症/page/2/,18,11,12,10,2
/news/【1ストレッチ30秒のすゝめ】/,18,18,18,16,
/news/【予防こそが最強の治療法】/,18,16,16,14,
/1479/,17,11,11,6,1479
/guidance/gojukata-4/,17,16,16,15,
/1549/,16,9,10,8,1549
/463/,16,11,11,11,463
/blog/page/3/,16,13,14,13,3
/news/【ぎっくり腰に注意ですよ！】/,16,16,16,15,
/1127/,15,14,14,4,1127
/guidance/gojukata-1/,15,12,12,12,
/news/【年内は12月28日までです！】/,15,15,15,12,
/privacy-policy/,15,14,14,9,
/1472/,14,11,12,4,1472
/804/,14,11,11,8,804
/news/【寒くなって駆け込み来院が増えてます！】/,14,13,13,11,
/news/【改めてお盆休みのお知らせ】-⁡/,14,14,14,14,
/1575/,13,10,10,8,1575
/610/,13,12,12,9,610
/news/【筋肉が硬くなるのは、関節の動きが小さいから/,13,13,13,12,
/1195/,12,11,12,10,1195
/news/【台風に十分警戒してください！】/,12,12,12,11,
/1118/,11,8,9,5,1118
/1148/,11,8,8,7,1148
/1166/,11,10,10,10,1166
/1589/,11,5,9,8,1589
/1769/,11,11,12,7,1769
/news/page/2/,11,10,10,9,2
/1019/,10,5,6,6,1019
/1058/,10,8,8,3,1058
/1489/,10,5,10,2,1489
/1532/,10,4,5,5,1532
/1571/,10,7,7,7,1571
/1638/,10,6,6,6,1638
/672/,10,7,7,7,672
/news/【明日から11月！冷え対策を！】/,10,10,10,9,
/1457/,9,6,8,3,1457
/1669/,9,7,8,6,1669
/blog/page/7/,9,8,8,2,7
/news/【「正しい姿勢＝腰痛にならない」ではない？】/,9,9,9,8,
/news/【まだ11月だからって油断は禁物！】/,9,9,9,9,
/1163/,8,8,8,0,1163
/1463/,8,5,6,5,1463
/1692/,8,2,7,4,1692
/1695/,8,7,7,7,1695
/1736/,8,7,7,7,1736
/1747/,8,4,4,4,1747
/1055/,7,7,7,5,1055
/1520/,7,4,4,3,1520
/1525/,7,6,6,4,1525
/667/,7,6,6,6,667
/839/,7,6,6,5,839
/blog/page/4/,7,7,7,7,4
/category/column/,7,4,4,2,
/category/脊柱側弯症/page/3/,7,3,4,4,3
/1002/,6,4,4,4,1002
/1037/,6,5,5,5,1037
/1150/,6,4,4,4,1150
/1545/,6,5,5,4,1545
/1724/,6,4,4,4,1724
/1742/,6,3,3,3,1742
/330/,6,6,6,6,330
