query,page,clicks,impressions,ctr,position,post_id
レッドコード 整体,https://physical-balance-lab.com/,206,2290,0.08995633187772925,3.576419213973799,
レッドコード施術,https://physical-balance-lab.com/,120,998,0.12024048096192384,4.569138276553106,
レッドコード 名古屋,https://physical-balance-lab.com/,83,267,0.31086142322097376,1.9550561797752808,
無重力整体,https://physical-balance-lab.com/,43,431,0.09976798143851508,7.6682134570765665,
無重力整体 レッドコード,https://physical-balance-lab.com/,43,299,0.14381270903010032,4.066889632107023,
無重力整体レッドコード,https://physical-balance-lab.com/,38,369,0.10298102981029811,3.772357723577236,
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,37,132,0.2803030303030303,1.3333333333333333,
pemfとは,https://physical-balance-lab.com/441/,34,2643,0.012864169504351116,6.524025728339009,441
レッドコード整体,https://physical-balance-lab.com/,34,452,0.0752212389380531,3.6792035398230087,
パルス電磁場とは,https://physical-balance-lab.com/441/,29,1535,0.018892508143322474,6.710749185667752,441
側 弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,29,815,0.03558282208588957,7.387730061349694,976
側 弯症 手術後 できない こと,https://physical-balance-lab.com/976/,25,823,0.030376670716889428,11.353584447144593,976
レッド コード 整体,https://physical-balance-lab.com/,22,270,0.08148148148148149,4.466666666666667,
側弯症 術後 痛み,https://physical-balance-lab.com/976/,21,250,0.084,7.524,976
pemf,https://physical-balance-lab.com/441/,20,1102,0.018148820326678767,7.683303085299456,441
レッドコード 施術,https://physical-balance-lab.com/,20,240,0.08333333333333333,3.4791666666666665,
反り腰 体育座り,https://physical-balance-lab.com/1063/,19,323,0.058823529411764705,5.8390092879256965,1063
側 弯症 歩行 特徴,https://physical-balance-lab.com/1182/,18,409,0.044009779951100246,4.52322738386308,1182
pemf 治療,https://physical-balance-lab.com/441/,16,324,0.04938271604938271,7.632716049382716,441
側弯症 股関節の痛み,https://physical-balance-lab.com/1176/,13,207,0.06280193236714976,5.908212560386473,1176
pemf療法,https://physical-balance-lab.com/441/,12,1209,0.009925558312655087,9.8560794044665,441
側弯症 歩き方,https://physical-balance-lab.com/1182/,12,282,0.0425531914893617,4.50709219858156,1182
フィジカルバランスラボ整体院,https://physical-balance-lab.com/about/,11,128,0.0859375,2.25,
側弯症 手術 痛み,https://physical-balance-lab.com/976/,11,241,0.04564315352697095,8.792531120331951,976
体育座り 反り腰,https://physical-balance-lab.com/1063/,10,188,0.05319148936170213,5.579787234042553,1063
空中整体,https://physical-balance-lab.com/,10,73,0.136986301369863,6.397260273972603,
pemf 効果,https://physical-balance-lab.com/441/,9,295,0.030508474576271188,6.71864406779661,441
星ヶ丘 整体,https://physical-balance-lab.com/,9,620,0.014516129032258065,8.01290322580645,
無重力 整体,https://physical-balance-lab.com/,9,82,0.10975609756097561,6.573170731707317,
側弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,8,102,0.0784313725490196,8.656862745098039,976
パルス電磁場,https://physical-balance-lab.com/441/,7,654,0.010703363914373088,3.324159021406728,441
ミルウォーキー装具,https://physical-balance-lab.com/965/,7,2084,0.0033589251439539347,1.2715930902111325,965
側弯症 手術 後遺症,https://physical-balance-lab.com/976/,7,208,0.03365384615384615,10.057692307692308,976
側弯症 手術後 できないこと,https://physical-balance-lab.com/976/,7,182,0.038461538461538464,14.543956043956044,976
パルス電磁場療法,https://physical-balance-lab.com/441/,6,846,0.0070921985815602835,10.131205673758865,441
レッドコード 名古屋,https://physical-balance-lab.com/about/,6,125,0.048,9.304,
レッドコード 自律神経,https://physical-balance-lab.com/news/%E3%80%90%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%81%AE%E4%B9%B1%E3%82%8C%E3%81%AB%E6%B0%97%E3%82%92%E3%81%A4%E3%81%91%E3%81%A6%EF%BC%81%E3%80%91/,6,40,0.15,3.125,
側 弯症 手術後 背中の 痛み,https://physical-balance-lab.com/976/,6,82,0.07317073170731707,5.2682926829268295,976
フィジカルバランスラボ整体院,https://physical-balance-lab.com/for-newcomers/,5,115,0.043478260869565216,2.6695652173913045,
レッドコード 整体,https://physical-balance-lab.com/about/,5,186,0.026881720430107527,8.17741935483871,
レッドコード 施術所,https://physical-balance-lab.com/,5,79,0.06329113924050633,5.518987341772152,
レッドコード施術 名古屋,https://physical-balance-lab.com/,5,28,0.17857142857142858,1.6428571428571428,
側弯症 装具 種類,https://physical-balance-lab.com/965/,5,121,0.04132231404958678,9.892561983471074,965
無重力 整体 レッドコード,https://physical-balance-lab.com/,5,46,0.10869565217391304,3.1956521739130435,
無重力整体 名古屋,https://physical-balance-lab.com/,5,10,0.5,2.8,
つま先重心 治し 方,https://physical-balance-lab.com/620/,4,256,0.015625,9.32421875,620
タバコ 背中痛い,https://physical-balance-lab.com/317/,4,613,0.0065252854812398045,9.559543230016313,317
パルス電磁場療法とは,https://physical-balance-lab.com/441/,4,69,0.057971014492753624,7.2898550724637685,441
