query,page,path_id,clicks,impressions,ctr,position
pemf 効果,https://physical-balance-lab.com/441/,441,4,47,0.0851063829787234,5.446808510638298
pemfとは,https://physical-balance-lab.com/441/,441,4,237,0.016877637130801686,4.620253164556962
側 弯症 歩行 特徴,https://physical-balance-lab.com/1182/,1182,4,34,0.11764705882352941,3.2941176470588234
ボストンブレース ミルウォーキー,https://physical-balance-lab.com/965/,965,2,49,0.04081632653061224,1.489795918367347
側 弯症 手術後 できない こと,https://physical-balance-lab.com/976/,976,2,48,0.041666666666666664,11.875
側 弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,2,138,0.014492753623188406,7.884057971014493
側 弯症 装具 種類,https://physical-balance-lab.com/965/,965,2,7,0.2857142857142857,12.714285714285714
側弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,2,23,0.08695652173913043,8.130434782608695
タバコ吸うと背中が痛い,https://physical-balance-lab.com/317/,317,1,22,0.045454545454545456,6
タバコ吸ったら背中が痛い,https://physical-balance-lab.com/317/,317,1,6,0.16666666666666666,7.666666666666667
パルス電磁場療法,https://physical-balance-lab.com/441/,441,1,70,0.014285714285714285,12.5
パルス電磁波療法,https://physical-balance-lab.com/441/,441,1,1,1,13
体育座り 腰痛い,https://physical-balance-lab.com/1063/,1063,1,17,0.058823529411764705,10.058823529411764
側弯症 手術 後遺症,https://physical-balance-lab.com/976/,976,1,16,0.0625,11.1875
側弯症 手術 痛み,https://physical-balance-lab.com/976/,976,1,40,0.025,8.05
側弯症 筋肉 バランス,https://physical-balance-lab.com/1171/,1171,1,18,0.05555555555555555,10.555555555555555
側弯症 股関節の痛み,https://physical-balance-lab.com/1176/,1176,1,25,0.04,5.84
側弯症 術後 痛み,https://physical-balance-lab.com/976/,976,1,19,0.05263157894736842,5.7368421052631575
側弯症 骨盤,https://physical-balance-lab.com/1176/,1176,1,5,0.2,4
側弯症装具,https://physical-balance-lab.com/965/,965,1,1,1,43
側湾症 手術後,https://physical-balance-lab.com/976/,976,1,3,0.3333333333333333,19.333333333333332
反り腰 体育座り,https://physical-balance-lab.com/1063/,1063,1,18,0.05555555555555555,6.611111111111111
星ヶ丘 整体,https://physical-balance-lab.com/,,1,37,0.02702702702702703,7.972972972972973
脊柱側弯症 ストレッチ,https://physical-balance-lab.com/1101/,1101,1,2,0.5,18
boston型装具,https://physical-balance-lab.com/965/,965,0,11,0,1
boston装具,https://physical-balance-lab.com/965/,965,0,16,0,1
milwaukee 装具,https://physical-balance-lab.com/965/,965,0,2,0,1
milwaukee装具,https://physical-balance-lab.com/965/,965,0,20,0,1
pemf,https://physical-balance-lab.com/441/,441,0,42,0,11.761904761904763
pemf 大谷翔平,https://physical-balance-lab.com/441/,441,0,1,0,1
pemf 治療,https://physical-balance-lab.com/441/,441,0,11,0,9
pemfパルス電磁場療法とは,https://physical-balance-lab.com/441/,441,0,30,0,9.533333333333333
pemf機器,https://physical-balance-lab.com/441/,441,0,17,0,12.647058823529411
pemf治療,https://physical-balance-lab.com/441/,441,0,5,0,11.2
pemf治療器,https://physical-balance-lab.com/441/,441,0,1,0,5
pemf療法,https://physical-balance-lab.com/441/,441,0,99,0,10.424242424242424
physical balance,https://physical-balance-lab.com/,,0,1,0,1
scoliosis,https://physical-balance-lab.com/965/,965,0,1,0,3
tfcc損傷 ゴルフ,https://physical-balance-lab.com/731/,731,0,2,0,28.5
ぎっくり腰 体育座り,https://physical-balance-lab.com/1063/,1063,0,21,0,4.571428571428571
ずっと体育座り,https://physical-balance-lab.com/1063/,1063,0,1,0,1
つま先 重心,https://physical-balance-lab.com/620/,620,0,6,0,12.333333333333334
つま先 重心 治し 方,https://physical-balance-lab.com/620/,620,0,2,0,8
つま先に重心,https://physical-balance-lab.com/620/,620,0,10,0,5.6
つま先立ち 重心,https://physical-balance-lab.com/620/,620,0,1,0,1
つま先重心,https://physical-balance-lab.com/620/,620,0,66,0,4
つま先重心 デメリット,https://physical-balance-lab.com/620/,620,0,5,0,5
つま先重心 メリット,https://physical-balance-lab.com/620/,620,0,5,0,11.8
つま先重心 治し 方,https://physical-balance-lab.com/620/,620,0,23,0,6.217391304347826
つま先重心 治し方,https://physical-balance-lab.com/620/,620,0,11,0,9.818181818181818
つま先重心 矯正,https://physical-balance-lab.com/620/,620,0,3,0,1
アキレス腱 固い,https://physical-balance-lab.com/584/,584,0,4,0,12
アキレス腱 皮膚 硬い,https://physical-balance-lab.com/584/,584,0,12,0,6.666666666666667
アキレス腱 硬い,https://physical-balance-lab.com/584/,584,0,1,0,25
アキレス腱 硬い 原因,https://physical-balance-lab.com/584/,584,0,1,0,13
アキレス腱が固い,https://physical-balance-lab.com/584/,584,0,6,0,11.166666666666666
アキレス腱が硬い,https://physical-balance-lab.com/584/,584,0,3,0,4.333333333333334
アキレス腱が硬い 原因,https://physical-balance-lab.com/584/,584,0,3,0,13
アキレス腱硬い,https://physical-balance-lab.com/584/,584,0,1,0,5
エオス 名古屋市千種区井上町,https://physical-balance-lab.com/898/,898,0,1,0,11
カイロプラクティック 側弯症手術後できないこと,https://physical-balance-lab.com/976/,976,0,1,0,6
ゴルフ ダフリ 手首 痛い,https://physical-balance-lab.com/731/,731,0,1,0,22
ゴルフ 右手首 痛い,https://physical-balance-lab.com/731/,731,0,5,0,20.2
ゴルフ 左手首 痛い,https://physical-balance-lab.com/731/,731,0,1,0,20
ゴルフ 手首 痛い,https://physical-balance-lab.com/731/,731,0,1,0,43
ゴルフ 手首痛い,https://physical-balance-lab.com/731/,731,0,2,0,42
ゴルフ手首痛い,https://physical-balance-lab.com/731/,731,0,1,0,42
スカート 上がってくる 原因,https://physical-balance-lab.com/616/,616,0,8,0,1
スカート 回る,https://physical-balance-lab.com/616/,616,0,2,0,13
スカート 回る と 広がる,https://physical-balance-lab.com/616/,616,0,1,0,29
スカート 回る なぜ,https://physical-balance-lab.com/616/,616,0,17,0,1
スカート 回る ゆるい,https://physical-balance-lab.com/616/,616,0,2,0,1
スカートが回る,https://physical-balance-lab.com/616/,616,0,3,0,11.333333333333334
スカート回転,https://physical-balance-lab.com/616/,616,0,2,0,7.5
タバコ 吸い 過ぎ 背中 痛い,https://physical-balance-lab.com/317/,317,0,4,0,12
タバコ 背中の痛み,https://physical-balance-lab.com/317/,317,0,6,0,6.333333333333333
タバコ 背中痛い,https://physical-balance-lab.com/317/,317,0,75,0,8.773333333333333
タバコを吸うと背中が痛い,https://physical-balance-lab.com/317/,317,0,21,0,4.380952380952381
タバコ背中痛い,https://physical-balance-lab.com/317/,317,0,12,0,8.25
バネラボ,https://physical-balance-lab.com/about/,,0,1,0,18
バランスラボ 店舗,https://physical-balance-lab.com/,,0,3,0,2.666666666666667
パルス電磁場,https://physical-balance-lab.com/441/,441,0,31,0,2.774193548387097
パルス電磁場とは,https://physical-balance-lab.com/441/,441,0,107,0,5.411214953271028
パルス電磁場マット,https://physical-balance-lab.com/441/,441,0,2,0,32
ヘルニア 体育座り,https://physical-balance-lab.com/1063/,1063,0,13,0,1
ボストン ブレース ミルウォーキー,https://physical-balance-lab.com/965/,965,0,9,0,1
ボストン ミルウォーキー 装具,https://physical-balance-lab.com/965/,965,0,32,0,1.03125
ボストン 装具,https://physical-balance-lab.com/965/,965,0,35,0,1
ボストン 装具 ミルウォーキー,https://physical-balance-lab.com/965/,965,0,21,0,1.0476190476190477
ボストンブレース,https://physical-balance-lab.com/965/,965,0,221,0,1.0542986425339367
ボストンブレース 装具,https://physical-balance-lab.com/965/,965,0,9,0,1
ボストン型 装具,https://physical-balance-lab.com/965/,965,0,2,0,1
ボストン型装具,https://physical-balance-lab.com/965/,965,0,102,0,1
ボストン装具,https://physical-balance-lab.com/965/,965,0,281,0,1
