query,page,path_id,clicks,impressions,ctr,position
側 弯症 手術後 できない こと,https://physical-balance-lab.com/976/,976,5,347,0.01440922190201729,10.976945244956772
無重力整体,https://physical-balance-lab.com/,,3,54,0.05555555555555555,8.296296296296298
無重力整体 レッドコード,https://physical-balance-lab.com/,,3,12,0.25,3
レッドコード整体,https://physical-balance-lab.com/,,2,30,0.06666666666666667,3.2
側 弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,2,49,0.04081632653061224,6.326530612244898
側 弯症 歩行 特徴,https://physical-balance-lab.com/1182/,1182,2,17,0.11764705882352941,3.3529411764705883
側弯症 術後 痛み,https://physical-balance-lab.com/976/,976,2,13,0.15384615384615385,4.538461538461538
無重力 整体 レッドコード,https://physical-balance-lab.com/,,2,9,0.2222222222222222,2.4444444444444446
アキレス腱 硬い,https://physical-balance-lab.com/584/,584,1,20,0.05,12.1
タバコ 背中痛い,https://physical-balance-lab.com/317/,317,1,29,0.034482758620689655,8.172413793103448
パルス電磁波療法,https://physical-balance-lab.com/441/,441,1,22,0.045454545454545456,6.909090909090909
レッドコード 名古屋,https://physical-balance-lab.com/about/,,1,5,0.2,7
レッドコード 愛知県,https://physical-balance-lab.com/,,1,2,0.5,2
レッドコード 整体,https://physical-balance-lab.com/,,1,23,0.043478260869565216,3.0434782608695654
レッドコード 施術,https://physical-balance-lab.com/,,1,14,0.07142857142857142,7.428571428571429
レッドコードせじゅつ,https://physical-balance-lab.com/,,1,1,1,3
レッドコード施術,https://physical-balance-lab.com/,,1,22,0.045454545454545456,10.5
レッドコード施術所,https://physical-balance-lab.com/,,1,4,0.25,2.5
体育座り メリット,https://physical-balance-lab.com/1063/,1063,1,16,0.0625,10.625
体育座り 反り腰,https://physical-balance-lab.com/1063/,1063,1,12,0.08333333333333333,3
側 弯症 手術後の生活,https://physical-balance-lab.com/976/,976,1,1,1,17
側 弯症 装具 種類,https://physical-balance-lab.com/965/,965,1,21,0.047619047619047616,12
側弯症 ウォーキング,https://physical-balance-lab.com/1182/,1182,1,11,0.09090909090909091,4.272727272727273
側弯症 筋肉 バランス,https://physical-balance-lab.com/1171/,1171,1,7,0.14285714285714285,5.428571428571429
側弯症コルセット 種類,https://physical-balance-lab.com/965/,965,1,10,0.1,8.9
反り腰 体育座り,https://physical-balance-lab.com/1063/,1063,1,13,0.07692307692307693,1.7692307692307692
星ヶ丘 整体,https://physical-balance-lab.com/,,1,23,0.043478260869565216,5.260869565217392
無重力整体 名古屋,https://physical-balance-lab.com/,,1,1,1,1
禁煙 背中の痛み,https://physical-balance-lab.com/317/,317,1,4,0.25,12.25
腕のねじれ 原因,https://physical-balance-lab.com/744/,744,1,1,1,24
腰痛 体育座り,https://physical-balance-lab.com/1063/,1063,1,20,0.05,10.75
milwaukee装具,https://physical-balance-lab.com/965/,965,0,1,0,1
pemf,https://physical-balance-lab.com/441/,441,0,68,0,8.867647058823529
pemf 効果,https://physical-balance-lab.com/441/,441,0,17,0,8.411764705882353
pemf 機器,https://physical-balance-lab.com/441/,441,0,1,0,12
pemf 治療,https://physical-balance-lab.com/441/,441,0,5,0,9.8
pemf 治療器,https://physical-balance-lab.com/441/,441,0,15,0,10.666666666666666
pemfとは,https://physical-balance-lab.com/441/,441,0,63,0,6.634920634920635
pemfパルス電磁場療法とは,https://physical-balance-lab.com/441/,441,0,3,0,5.333333333333333
pemf機器,https://physical-balance-lab.com/441/,441,0,15,0,10.533333333333333
pemf治療,https://physical-balance-lab.com/441/,441,0,3,0,10.666666666666666
pemf療法,https://physical-balance-lab.com/441/,441,0,28,0,8.321428571428571
ぎっくり腰 体育座り,https://physical-balance-lab.com/1063/,1063,0,11,0,5.090909090909091
つま先 重心,https://physical-balance-lab.com/620/,620,0,3,0,1
つま先に体重がかかる,https://physical-balance-lab.com/620/,620,0,3,0,10.333333333333334
つま先に重心,https://physical-balance-lab.com/620/,620,0,11,0,5.636363636363637
つま先重心,https://physical-balance-lab.com/620/,620,0,72,0,4.319444444444445
つま先重心 治し 方,https://physical-balance-lab.com/620/,620,0,9,0,11.333333333333334
つま先重心 治し方,https://physical-balance-lab.com/620/,620,0,2,0,11.5
つま先重心 矯正,https://physical-balance-lab.com/620/,620,0,1,0,43
どれくらい？,https://physical-balance-lab.com/976/,976,0,1,0,1
アキレス腱 固い,https://physical-balance-lab.com/584/,584,0,4,0,7.75
アキレス腱が固い,https://physical-balance-lab.com/584/,584,0,1,0,11
アキレス腱が硬い 原因,https://physical-balance-lab.com/584/,584,0,1,0,11
アキレス腱硬い,https://physical-balance-lab.com/584/,584,0,5,0,13.2
アキレス腱硬い原因,https://physical-balance-lab.com/584/,584,0,1,0,12
オリーライフ 怪しい,https://physical-balance-lab.com/441/,441,0,1,0,5
ゴルフ 左膝 内側 痛い,https://physical-balance-lab.com/804/,804,0,1,0,1
ゴルフ 手首 痛い,https://physical-balance-lab.com/731/,731,0,1,0,28
ゴルフ 膝 痛み,https://physical-balance-lab.com/804/,804,0,1,0,43
ゴルフ 膝が痛い,https://physical-balance-lab.com/804/,804,0,1,0,43
スカート 回る,https://physical-balance-lab.com/616/,616,0,1,0,9
スカートが回る原因,https://physical-balance-lab.com/616/,616,0,1,0,13
タバコを吸うと背中が痛い,https://physical-balance-lab.com/317/,317,0,5,0,7.2
タバコ吸うと背中が痛い,https://physical-balance-lab.com/317/,317,0,1,0,29
パルス 電磁場 療法 と は,https://physical-balance-lab.com/441/,441,0,7,0,4.857142857142858
パルス電磁場,https://physical-balance-lab.com/441/,441,0,24,0,2.666666666666667
パルス電磁場とは,https://physical-balance-lab.com/441/,441,0,41,0,5.878048780487805
パルス電磁場療法,https://physical-balance-lab.com/441/,441,0,38,0,8
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,,0,1,0,1
フィジカルバランスラボ整体院,https://physical-balance-lab.com/about/,,0,1,0,6
プレーリー コルセット,https://physical-balance-lab.com/965/,965,0,2,0,10
ヘルニア 体育座り,https://physical-balance-lab.com/1063/,1063,0,1,0,1
ボストン 装具,https://physical-balance-lab.com/965/,965,0,4,0,1
ボストンブレース,https://physical-balance-lab.com/965/,965,0,50,0,1.38
ボストン型装具,https://physical-balance-lab.com/965/,965,0,8,0,1
ボストン装具,https://physical-balance-lab.com/965/,965,0,11,0,1
ボディメカニクス と は 看護,https://physical-balance-lab.com/932/,932,0,21,0,31.285714285714285
ボディメカニクス 看護,https://physical-balance-lab.com/932/,932,0,3,0,53
ボディメカニクスとは 看護,https://physical-balance-lab.com/932/,932,0,1,0,25
ミルウォーキー ブレース,https://physical-balance-lab.com/965/,965,0,2,0,3
ミルウォーキー 装具,https://physical-balance-lab.com/965/,965,0,8,0,1.125
ミルウォーキー 装具 適応,https://physical-balance-lab.com/965/,965,0,3,0,3.6666666666666665
ミルウォーキーブレース,https://physical-balance-lab.com/965/,965,0,35,0,1.4
ミルウォーキー型装具,https://physical-balance-lab.com/965/,965,0,1,0,7
ミルウォーキー装具,https://physical-balance-lab.com/965/,965,0,45,0,1
ミルウォーキー装具 適応,https://physical-balance-lab.com/965/,965,0,1,0,5
レットコード 施術,https://physical-balance-lab.com/,,0,1,0,2
レットコード 施術,https://physical-balance-lab.com/about/,,0,1,0,1
レットコード施術,https://physical-balance-lab.com/,,0,1,0,3
レッドコード 名古屋,https://physical-balance-lab.com/,,0,5,0,1.6
レッドコード 整体,https://physical-balance-lab.com/about/,,0,1,0,9
レッドコード 整体,https://physical-balance-lab.com/guidance/,,0,1,0,12
レッドコード 整体 関西,https://physical-balance-lab.com/about/,,0,1,0,9
レッドコード 施術,https://physical-balance-lab.com/about-redcord/,,0,1,0,28
レッドコード 治療,https://physical-balance-lab.com/,,0,1,0,1
レッドコード 病院,https://physical-balance-lab.com/,,0,1,0,11
レッドコード施術 名古屋,https://physical-balance-lab.com/,,0,1,0,2
レッドコード施術 名古屋,https://physical-balance-lab.com/about/,,0,1,0,8
レッドコード施術とは,https://physical-balance-lab.com/,,0,2,0,1
レッドコード施術所,https://physical-balance-lab.com/about/,,0,1,0,9
