query,page,path_id,clicks,impressions,ctr,position
レッドコード 整体,https://physical-balance-lab.com/,,176,1900,0.09263157894736843,3.4
レッドコード施術,https://physical-balance-lab.com/,,104,628,0.16560509554140126,3.6353503184713376
レッドコード 名古屋,https://physical-balance-lab.com/,,61,162,0.3765432098765432,1.9691358024691357
無重力整体レッドコード,https://physical-balance-lab.com/,,37,323,0.11455108359133127,3.7523219814241484
無重力整体 レッドコード,https://physical-balance-lab.com/,,30,194,0.15463917525773196,4.103092783505154
無重力整体,https://physical-balance-lab.com/,,26,94,0.2765957446808511,5.787234042553192
レッド コード 整体,https://physical-balance-lab.com/,,20,255,0.0784313725490196,4.474509803921569
レッドコード整体,https://physical-balance-lab.com/,,20,226,0.08849557522123894,3.314159292035398
レッドコード 施術,https://physical-balance-lab.com/,,13,131,0.09923664122137404,2.4122137404580153
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,,8,32,0.25,1.03125
無重力 整体,https://physical-balance-lab.com/,,8,20,0.4,4.2
フィジカルバランスラボ整体院,https://physical-balance-lab.com/about/,,7,32,0.21875,1.03125
レッドコード 自律神経,https://physical-balance-lab.com/news/%E3%80%90%E8%87%AA%E5%BE%8B%E7%A5%9E%E7%B5%8C%E3%81%AE%E4%B9%B1%E3%82%8C%E3%81%AB%E6%B0%97%E3%82%92%E3%81%A4%E3%81%91%E3%81%A6%EF%BC%81%E3%80%91/,,6,39,0.15384615384615385,2.871794871794872
空中整体,https://physical-balance-lab.com/,,6,61,0.09836065573770492,7.049180327868853
フィジカルバランスラボ整体院,https://physical-balance-lab.com/for-newcomers/,,5,32,0.15625,1.03125
レッドコード 整体,https://physical-balance-lab.com/about/,,5,158,0.03164556962025317,6.810126582278481
レッドコード施術 名古屋,https://physical-balance-lab.com/,,5,15,0.3333333333333333,1.2666666666666666
レッドコード 施術所,https://physical-balance-lab.com/,,4,63,0.06349206349206349,5.158730158730159
レッドコード施術 京都,https://physical-balance-lab.com/about/,,4,23,0.17391304347826086,7.173913043478261
レッド コード 整体,https://physical-balance-lab.com/about/,,3,18,0.16666666666666666,7.888888888888889
レッドコード施術 愛知県,https://physical-balance-lab.com/,,3,7,0.42857142857142855,1.5714285714285714
レッドコード,https://physical-balance-lab.com/,,2,42,0.047619047619047616,10.214285714285714
レッドコード 名古屋,https://physical-balance-lab.com/about/,,2,43,0.046511627906976744,10.44186046511628
レッドコード 整体,https://physical-balance-lab.com/for-newcomers/,,2,91,0.02197802197802198,11.175824175824175
レッドコード施術,https://physical-balance-lab.com/guidance/,,2,9,0.2222222222222222,34.666666666666664
無重力整体 名古屋,https://physical-balance-lab.com/,,2,7,0.2857142857142857,3.5714285714285716
pemf,https://physical-balance-lab.com/441/,441,1,57,0.017543859649122806,1.8771929824561404
つま先重心,https://physical-balance-lab.com/620/,620,1,16,0.0625,9.25
パルス電磁場とは,https://physical-balance-lab.com/441/,441,1,23,0.043478260869565216,1.8260869565217392
フィジカルバランスラボ整体院,https://physical-balance-lab.com/guidance/,,1,14,0.07142857142857142,1.0714285714285714
レットコード施術,https://physical-balance-lab.com/,,1,3,0.3333333333333333,1.3333333333333333
レッドコード施術,https://physical-balance-lab.com/about/,,1,1,1,12
レッドコード施術,https://physical-balance-lab.com/for-newcomers/,,1,111,0.009009009009009009,1.3153153153153152
レッドコード施術所,https://physical-balance-lab.com/,,1,41,0.024390243902439025,5.146341463414634
側 弯症 手術後 できない こと,https://physical-balance-lab.com/976/,976,1,2,0.5,19.5
側 弯症 歩行 特徴,https://physical-balance-lab.com/1182/,1182,1,15,0.06666666666666667,2.8666666666666667
側弯症 歩きにくい,https://physical-balance-lab.com/1182/,1182,1,3,0.3333333333333333,8.333333333333332
接骨院 名古屋,https://physical-balance-lab.com/,,1,1,1,105
星ヶ丘 整体,https://physical-balance-lab.com/,,1,7,0.14285714285714285,7.428571428571429
boston型装具,https://physical-balance-lab.com/965/,965,0,1,0,1
lenke分類,https://physical-balance-lab.com/965/,965,0,1,0,7
milwaukee装具,https://physical-balance-lab.com/965/,965,0,1,0,1
pemf 副作用,https://physical-balance-lab.com/441/,441,0,2,0,4
pemf 効果,https://physical-balance-lab.com/441/,441,0,14,0,1.7857142857142856
pemf 治療,https://physical-balance-lab.com/441/,441,0,3,0,8.666666666666668
pemf.,https://physical-balance-lab.com/441/,441,0,1,0,1
pemfとは,https://physical-balance-lab.com/441/,441,0,60,0,1.5333333333333332
