query,page,path_id,clicks,impressions,ctr,position
レッドコード整体,https://physical-balance-lab.com/,,3,15,0.2,8.2
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,,2,9,0.2222222222222222,1.7777777777777777
側弯症 術後 痛み,https://physical-balance-lab.com/976/,976,2,23,0.08695652173913043,7.391304347826087
側弯症手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,2,40,0.05,10.25
アキレス腱硬い,https://physical-balance-lab.com/584/,584,1,33,0.030303030303030304,4.151515151515151
ミルウォーキーブレース,https://physical-balance-lab.com/965/,965,1,26,0.038461538461538464,6.1923076923076925
ミルウォーキーブレース 装具,https://physical-balance-lab.com/965/,965,1,13,0.07692307692307693,1.6923076923076923
側 弯症 手術 痛み,https://physical-balance-lab.com/976/,976,1,15,0.06666666666666667,9
側 弯症 手術後の生活,https://physical-balance-lab.com/976/,976,1,3,0.3333333333333333,19
側弯症 手術 後遺症,https://physical-balance-lab.com/976/,976,1,7,0.14285714285714285,12.285714285714286
側弯症 手術 痛み,https://physical-balance-lab.com/976/,976,1,15,0.06666666666666667,8.533333333333333
側弯症 股関節の痛み,https://physical-balance-lab.com/1176/,1176,1,14,0.07142857142857142,5.5
側弯症 術後,https://physical-balance-lab.com/976/,976,1,2,0.5,26
側湾症 手術後 痛み,https://physical-balance-lab.com/976/,976,1,11,0.09090909090909091,7.636363636363637
星ヶ丘 整体,https://physical-balance-lab.com/,,1,13,0.07692307692307693,9.538461538461538
balance clinic near me,https://physical-balance-lab.com/,,0,1,0,5
milwaukee装具,https://physical-balance-lab.com/965/,965,0,7,0,3.142857142857143
pemf therapy,https://physical-balance-lab.com/441/,441,0,1,0,3
pemf テラヘルツ,https://physical-balance-lab.com/441/,441,0,1,0,6
pemf 副作用,https://physical-balance-lab.com/441/,441,0,1,0,4
pemf 効果,https://physical-balance-lab.com/441/,441,0,1,0,17
pemfとは,https://physical-balance-lab.com/441/,441,0,3,0,12.333333333333334
pemf機器,https://physical-balance-lab.com/441/,441,0,8,0,12.25
pemf療法,https://physical-balance-lab.com/441/,441,0,8,0,14.625
しゃがむ イラスト 後ろ,https://physical-balance-lab.com/1824/,1824,0,1,0,52
しゃがむ 時 膝 が 痛い,https://physical-balance-lab.com/1824/,1824,0,2,0,58
つま先 重心,https://physical-balance-lab.com/620/,620,0,1,0,48
つま先 重心 治し 方,https://physical-balance-lab.com/620/,620,0,1,0,34
どのくらい続きますか？,https://physical-balance-lab.com/976/,976,0,1,0,1
アキレス腱 固い,https://physical-balance-lab.com/584/,584,0,1,0,23
アキレス腱 固まる,https://physical-balance-lab.com/584/,584,0,2,0,21
アキレス腱 硬い,https://physical-balance-lab.com/584/,584,0,1,0,5
アキレス腱 硬い 生まれつき,https://physical-balance-lab.com/584/,584,0,50,0,6.88
アキレス腱が固い,https://physical-balance-lab.com/584/,584,0,4,0,8
アキレス腱が硬い,https://physical-balance-lab.com/584/,584,0,42,0,5.880952380952381
アキレス腱固い,https://physical-balance-lab.com/584/,584,0,4,0,6
ゴルフ 手首 痛い,https://physical-balance-lab.com/731/,731,0,2,0,57.5
ゴルフ 手首痛い,https://physical-balance-lab.com/731/,731,0,1,0,57
ゴルフ手首痛い,https://physical-balance-lab.com/731/,731,0,1,0,58
タバコ 背中が痛い,https://physical-balance-lab.com/317/,317,0,1,0,16
タバコを吸うと背中が痛い,https://physical-balance-lab.com/317/,317,0,1,0,14
タバコ吸うと背中が痛い,https://physical-balance-lab.com/317/,317,0,1,0,12
パルス 電磁場 療法 と は,https://physical-balance-lab.com/441/,441,0,3,0,4
パルス電磁場,https://physical-balance-lab.com/441/,441,0,1,0,4
パルス電磁場とは,https://physical-balance-lab.com/441/,441,0,1,0,4
パルス電磁場療法,https://physical-balance-lab.com/441/,441,0,7,0,17.571428571428573
