query,page,path_id,clicks,impressions,ctr,position
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,,3,15,0.2,1.6666666666666665
ボストンブレース,https://physical-balance-lab.com/965/,965,2,46,0.043478260869565216,2.1956521739130435
レッドコード整体,https://physical-balance-lab.com/,,2,7,0.2857142857142857,6.857142857142857
側弯症 術後 痛み,https://physical-balance-lab.com/976/,976,2,19,0.10526315789473684,7.631578947368421
アキレス腱 硬い 生まれつき,https://physical-balance-lab.com/584/,584,1,57,0.017543859649122806,7.368421052631579
ミルウォーキーブレース 装具,https://physical-balance-lab.com/965/,965,1,5,0.2,6.4
体育座り 反り腰,https://physical-balance-lab.com/1063/,1063,1,10,0.1,4.4
側 弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,1,72,0.013888888888888888,9.972222222222221
側 弯症 手術後 背中の 痛み,https://physical-balance-lab.com/976/,976,1,10,0.1,5.6
側 弯症 手術後の生活,https://physical-balance-lab.com/976/,976,1,2,0.5,19
側 弯症 歩行 特徴,https://physical-balance-lab.com/1182/,1182,1,8,0.125,2.625
側弯症 手術 後遺症,https://physical-balance-lab.com/976/,976,1,1,1,12
側弯症 手術 痛み,https://physical-balance-lab.com/976/,976,1,22,0.045454545454545456,9.181818181818182
側弯症 股関節の痛み,https://physical-balance-lab.com/1176/,1176,1,15,0.06666666666666667,3.2666666666666666
側弯症 術後,https://physical-balance-lab.com/976/,976,1,3,0.3333333333333333,26.333333333333332
側湾症 手術後 痛み,https://physical-balance-lab.com/976/,976,1,9,0.1111111111111111,7.444444444444445
星ヶ丘 整体,https://physical-balance-lab.com/,,1,9,0.1111111111111111,8.88888888888889
"""acr appropriateness criteria® acute hip pain: 2024 update"" publication date",https://physical-balance-lab.com/1825/,1825,0,7,0,4.857142857142858
"""acr appropriateness criteria® acute hip pain: 2024 update"" publication date",https://physical-balance-lab.com/1826/,1826,0,7,0,3.857142857142857
milwaukee装具,https://physical-balance-lab.com/965/,965,0,4,0,3.5
pemf,https://physical-balance-lab.com/441/,441,0,2,0,70.5
pemf therapy,https://physical-balance-lab.com/441/,441,0,1,0,3
pemf 副作用,https://physical-balance-lab.com/441/,441,0,1,0,4
pemfとは,https://physical-balance-lab.com/441/,441,0,1,0,17
pemf機器,https://physical-balance-lab.com/441/,441,0,7,0,13.571428571428571
pemf療法,https://physical-balance-lab.com/441/,441,0,8,0,15.875
しゃがむ 時 膝 が 痛い,https://physical-balance-lab.com/1824/,1824,0,2,0,58
つま先 重心,https://physical-balance-lab.com/620/,620,0,1,0,48
つま先 重心 治し 方,https://physical-balance-lab.com/620/,620,0,1,0,34
