query,clicks,impressions,ctr,position
pemfとは,33,2173,0.015186378278877128,6.84537505752416
pemf療法,13,1044,0.012452107279693486,9.771072796934867
pemf,15,614,0.024429967426710098,9.231270358306189
pemf 治療,15,299,0.05016722408026756,7.167224080267559
pemf機器,0,185,0,20.34054054054054
pemf 効果,8,179,0.0446927374301676,6.988826815642458
pemfパルス電磁場療法とは,1,106,0.009433962264150943,7.915094339622642
フィジカルバランスラボ整体院,24,72,0.3333333333333333,1.8194444444444444
レッドコード 名古屋,15,59,0.2542372881355932,2.4406779661016946
パルス電磁場 pemf,2,54,0.037037037037037035,7.481481481481482
レッドコード 整体,7,39,0.1794871794871795,3.8205128205128207
pemf治療,0,29,0,7.068965517241379
pemf とは,1,21,0.047619047619047616,9.095238095238095
pemf テラヘルツ,0,9,0,5.888888888888889
pemf 機器,0,6,0,11.333333333333334
pemfセラピー,0,6,0,14.833333333333334
pemf 副作用,1,5,0.2,10.2
pemf nasa,1,2,0.5,2
pemf 原理,1,2,0.5,1
pemf 大谷翔平,0,2,0,7
pemf 治療 器,0,2,0,10
nasa pemf,0,1,0,1
pemf therapy,0,1,0,1
pemf治療器,0,1,0,5
pemf療法装置市場,0,1,0,84
レッドコード 効果,0,1,0,2
レッドコード 腰痛,0,1,0,17
レッドコードとは,0,1,0,79
大谷翔平 pemf,0,1,0,8
