query,clicks,impressions,ctr,position
星ヶ丘 整体,10,1343,0.007446016381236039,8.265822784810126
星ヶ丘 腰痛,2,671,0.0029806259314456036,6.081967213114754
星ヶ丘 肩こり,0,533,0,18.076923076923077
名古屋 整体 側湾症,0,373,0,60.184986595174266
名古屋 整体 側弯症,0,328,0,43.957317073170735
子供 名古屋 名東区 整体 側弯症,0,271,0,13.970479704797048
星ヶ丘 五十肩,0,267,0,18.756554307116104
名古屋 名東区 整体 側弯症,0,258,0,21.325581395348838
子供 名古屋 名東区 整体 腰痛,0,203,0,50.00985221674877
子供 名古屋 整体 側弯症,0,160,0,48.38125
名古屋 名東区 整体 五十肩,0,144,0,68.49305555555556
千種区 腰痛,0,140,0,73.85
名東区 腰痛,0,110,0,91.91818181818182
名古屋 脊柱側弯症,0,103,0,71.66990291262135
腰痛 名古屋栄,0,99,0,82.8080808080808
星ヶ丘駅 整骨院,0,71,0,24.014084507042252
名古屋 名東区 整体 椎間板ヘルニア,0,70,0,76.48571428571428
千種区 整体院,0,64,0,73.1875
エオス 名古屋市千種区井上町,0,60,0,13.333333333333334
名古屋市 側弯症,0,60,0,92.2
星ヶ丘 ぎっくり腰,0,42,0,15.571428571428571
整骨院 星ヶ丘駅,0,41,0,52.146341463414636
スポーツ整体 愛知,0,40,0,93.275
側弯症 名古屋市,0,40,0,89.45
坐骨神経痛 名東区,0,35,0,45.82857142857143
ヘルニア 名東区,0,34,0,54.1764705882353
千種区 整体,0,34,0,56.529411764705884
星ヶ丘整体,0,27,0,8.25925925925926
五十肩 名東区,0,26,0,55.57692307692308
名古屋 名東区 整体 むち打ち症,0,23,0,57.17391304347826
子供 名古屋 整体 腰痛,0,23,0,90.30434782608695
肩甲骨はがし 名古屋,0,19,0,45.26315789473684
脊柱側弯症 名東区,0,19,0,9.947368421052632
星ヶ丘 接骨院,0,17,0,53.11764705882353
千種区 肩こり,0,15,0,90.6
五十肩 千種区,0,14,0,68.85714285714286
千種区 腰痛整体,0,13,0,82.38461538461539
名古屋 肩甲骨はがし,0,13,0,80.38461538461539
星ヶ丘整体noa リラク,0,13,0,35.69230769230769
腰痛 名東区,0,13,0,90.6923076923077
星ヶ丘 マッサージ,0,10,0,42.6
星ヶ丘整骨院,0,10,0,58.5
千種 ぎっくり腰,0,8,0,78.625
千種 整体,0,7,0,52.142857142857146
さくらリバース 星ヶ丘,0,6,0,71.5
スポーツ整体 名古屋,0,6,0,98.33333333333333
レスト整体サロン 名古屋市名東区にじが丘,0,6,0,33
名古屋 整体 椎間板ヘルニア,0,6,0,96.83333333333333
名古屋肩甲骨はがし,0,6,0,47
星ヶ丘 整骨院,0,6,0,68.16666666666667
肩 甲骨 はがし 名古屋,0,5,0,55.8
千種区 肩こり 整体,0,4,0,93.5
名古屋 側弯症,0,4,0,87.25
名東区 五十肩,0,4,0,48.5
千種 腰痛,0,3,0,77.33333333333333
千種区 産後 腰痛,0,3,0,79.66666666666667
子供 名古屋 名東区 側弯症,0,3,0,11
子供 名古屋 名東区 整体 猫背,0,3,0,37.666666666666664
スポーツ 整体 名古屋,0,2,0,98.5
スポーツラボ鍼接骨院 千種,0,2,0,31.5
リコア 大名古屋ビルヂング リラク,0,2,0,72
千種区 ぎっくり腰,0,2,0,70
名古屋市緑区 整体,0,2,0,71
愛知 balancedbody,0,2,0,22.5
整体院 千種区,0,2,0,61
名古屋 整体 名医,1,1,1,33
肋骨矯正 名古屋,1,1,1,4
d.func.|名古屋市西区の整体・治療院,0,1,0,27
タイコ ボディ ラボ 名古屋市瑞穂区瑞穂通,0,1,0,78
交通事故 整骨院 星ヶ丘駅,0,1,0,79
千種区 五十肩,0,1,0,94
名古屋 balancedbody,0,1,0,61
名古屋 スポーツ整体,0,1,0,83
名古屋 名東区 五十肩,0,1,0,74
名古屋 名東区 側弯症,0,1,0,33
名古屋 名東区 整体 坐骨神経痛,0,1,0,63
名古屋 名東区 整体 股関節痛,0,1,0,76
名古屋 名東区 整体 骨盤底筋群,0,1,0,22
名古屋 整体 むち打ち症,0,1,0,79
名古屋 整体 反り腰,0,1,0,102
名古屋 腰痛,0,1,0,1
名古屋市 肩甲骨はがし,0,1,0,76
名東区 坐骨神経痛,0,1,0,49
愛知県 肩甲骨はがし,0,1,0,82
整体 千種区,0,1,0,1
整体 名古屋,0,1,0,1
整体院 砂時計 名古屋市千種区天満通,0,1,0,35
星ヶ丘整体noa 名古屋市名東区名東本通,0,1,0,38
緩消法 名古屋,0,1,0,38
肩甲骨はがし 愛知,0,1,0,86
酸素カプセル 名東区,0,1,0,2
