query,clicks,impressions,ctr,position
ミルウォーキー装具,4,1562,0.002560819462227913,1.2170294494238156
パルス電磁場とは,19,1100,0.017272727272727273,6.9354545454545455
ボディメカニクス と は 看護,0,1061,0,29.567389255419414
ボストン装具,0,1047,0,1.0019102196752627
ボストンブレース,2,1007,0.0019860973187686196,1.0973187686196624
ボディメカニクス 看護,0,823,0,45.19441069258809
パルス電磁場療法,4,634,0.006309148264984227,10.156151419558359
パルス電磁場,7,448,0.015625,3.919642857142857
ボストン型装具,0,435,0,1.006896551724138
体育座り 腰が痛い,0,375,0,11.778666666666666
ミルウォーキーブレース,0,365,0,1.6739726027397261
タバコ 背中痛い,2,353,0.0056657223796034,10.263456090651559
ミルウォーキー 装具,2,324,0.006172839506172839,1.5277777777777777
小胸筋,0,319,0,1
側 弯症 手術後 痛み いつまで,6,292,0.02054794520547945,8.150684931506849
側 弯症 歩行 特徴,10,264,0.03787878787878788,5.518939393939394
ミルウォーキー装具 適応,0,237,0,3.130801687763713
ボディメカニクスとは,0,207,0,10.719806763285025
電磁場治療法,0,207,0,29.3768115942029
反り腰 体育座り,7,192,0.036458333333333336,7.322916666666667
体育座りすると腰が痛い,0,191,0,11.282722513089006
つま先重心 治し 方,2,180,0.011111111111111112,9.583333333333334
ぎっくり腰 体育座り,0,180,0,8.288888888888888
つま先重心,0,174,0,5.103448275862069
看護 ボディメカニクス,0,136,0,41.77205882352941
ミルウォーキー ボストン 違い,0,131,0,2.564885496183206
タバコ吸うと背中が痛い,3,126,0.023809523809523808,6.801587301587301
boston型装具,0,124,0,1.0080645161290323
体育座り 反り腰,3,103,0.02912621359223301,6.990291262135922
つま先重心 治し方,1,103,0.009708737864077669,10
ボストン 装具,0,101,0,1.3564356435643563
側 弯症 手術後 できない こと,5,100,0.05,13.97
背骨曲がる 治す ストレッチ,0,100,0,54.81
ボディメカニクス 意味,0,93,0,80.17204301075269
ミルウォーキー 装具 適応,0,93,0,2.956989247311828
タバコを吸うと背中が痛い,0,92,0,6.826086956521739
tfcc損傷 ゴルフ,0,90,0,21.944444444444443
スカート 回る,2,83,0.024096385542168676,15.686746987951807
ボストンブレース ミルウォーキー,2,83,0.024096385542168676,1.5060240963855422
腰椎分離症 体育座り,1,75,0.013333333333333334,7.72
パルス電磁場療法とは,4,69,0.057971014492753624,7.2898550724637685
側 弯症 装具 種類,2,65,0.03076923076923077,13.753846153846155
スカート 回る 対策,2,64,0.03125,9.015625
反り腰 座り方,1,63,0.015873015873015872,64.71428571428572
タバコ背中の痛み,0,62,0,10.548387096774194
喫煙 背中の痛み,1,57,0.017543859649122806,9.192982456140351
テニス 肩 痛い,0,52,0,77.07692307692308
つま先に重心,1,51,0.0196078431372549,9.686274509803921
頚椎の詰まり,1,51,0.0196078431372549,11.352941176470589
スカートが回る,1,48,0.020833333333333332,8.166666666666668
スカート 回る なぜ,0,46,0,2.7608695652173916
体育座り 腰に悪い,0,46,0,12.304347826086957
反り 腰 座り 方,0,46,0,73.06521739130434
反り 腰 東山,0,45,0,59.08888888888889
ヘルニア 体育座り,0,44,0,2.659090909090909
三角座り 腰が痛い,0,44,0,11.659090909090908
体育座り 腰,0,44,0,10.727272727272727
体操座り 腰が痛い,0,41,0,11.78048780487805
側 弯症 ぶら下がり 効果,0,41,0,14.902439024390244
禁煙 背中の痛み,0,39,0,8.794871794871796
バランスラボ 店舗,0,37,0,3.054054054054054
側 弯症 やってはいけない ストレッチ,0,37,0,54.513513513513516
腰椎 可動域評価 方法 自分で,0,37,0,6.5675675675675675
股関節痛 治療テクニック 楽になる,0,36,0,26.77777777777778
ボストン ミルウォーキー 装具,0,32,0,1.03125
ボディメカニクスとは 看護,0,31,0,26.225806451612904
つま先重心 メリット,0,30,0,11.633333333333333
タバコ 背中の痛み,0,30,0,8.733333333333334
タバコ背中痛い,0,30,0,10.2
タバコ吸ったら背中が痛い,1,29,0.034482758620689655,7.103448275862069
boston装具,0,28,0,1.0357142857142858
milwaukee装具,0,28,0,1
側 弯症 手術後 背中の 痛み,1,26,0.038461538461538464,5.846153846153846
バランス ラボ整骨院 リラク,0,26,0,32.96153846153846
ヘルニア 初期症状,0,26,0,71.23076923076923
ヘルニア 初期 症状,0,25,0,74.64
ボディメカニクス,0,25,0,34.28
側 弯症 手術 後遺症,1,24,0.041666666666666664,12.625
スカート回る,0,24,0,12.916666666666666
体育座り 効果,0,24,0,6.916666666666667
反り腰 椅子,0,23,0,41
ボストン装具 ミルウォーキー,0,22,0,1.7272727272727273
ミルウォーキー型装具,0,22,0,1.4545454545454546
ボストン 装具 ミルウォーキー,0,21,0,1.0476190476190477
ボディメカニクスとは 簡単に,0,21,0,38.333333333333336
側 弯症 ストレッチ,0,21,0,40.57142857142857
巻き 肩 東山,0,21,0,62.904761904761905
側 弯症 手術 痛み,0,20,0,8.35
側湾症 手術 後遺症,0,20,0,12.3
反り腰にならない座り方,0,20,0,30.05
つま先 重心,0,19,0,9.263157894736842
つま先重心 原因,0,19,0,9.578947368421053
アキレス腱 固い,0,18,0,16.77777777777778
ボストンブレース 装具,0,17,0,1
ボストンブレースとは,0,17,0,2.2941176470588234
デスクワーク 巻き肩,0,16,0,47.3125
ミルウォーキー ブレース,0,16,0,3.625
椅子 反り腰,0,16,0,35.3125
パイプ椅子 腰が痛い,0,15,0,1
ボディメカニクス とは,0,15,0,47.93333333333333
ボディメカニクス 日常生活,0,15,0,27.733333333333334
椎間板ヘルニア 体育座り,0,15,0,5.866666666666666
風邪ひくと腰が痛くなる,0,15,0,11.6
アキレス腱 皮膚 硬い,0,14,0,6.5
ボストン ブレース ミルウォーキー,0,14,0,1
栄 ぎっくり腰,0,14,0,67.14285714285714
アキレス腱 硬い 原因,0,13,0,13.076923076923077
スカート 上がってくる 原因,0,13,0,1
スカートが右に回る,0,13,0,10.076923076923077
反り腰座り方,0,13,0,62.69230769230769
熱田区 カイロプラクティック,0,13,0,96.76923076923077
デスクワーク 右肩 痛い,0,12,0,48.916666666666664
体育座り プロンプト,0,12,0,4.666666666666666
側湾症ラボ,0,12,0,9.5
つま先重心 矯正,0,11,0,1
アキレス腱が固い,0,11,0,14
体育座り メリット,0,11,0,3
体育座り 体に悪い,0,11,0,1
腕のねじれ 影響,0,11,0,9.909090909090908
腰椎椎間板ヘルニア 初期症状,0,11,0,40.18181818181818
レットコードとは,0,10,0,1.6
反り腰 改善 座り方,0,10,0,70.7
神股関節ケア,0,10,0,8.6
胸 腰椎 移行部 ストレッチ,0,10,0,8.1
側 弯症 手術後の生活,1,9,0.1111111111111111,25.555555555555557
つま先 重心 治し 方,0,9,0,10.444444444444445
コードレッド 意味,0,9,0,68
巻き肩 デスクワーク,0,9,0,37.666666666666664
歩いてるとスカートが回る,0,9,0,7.888888888888889
側湾症 手術後,1,8,0.125,22.625
つま先重心 デメリット,0,8,0,13.75
むちうち セルフケア,0,8,0,83.625
スカート 回転,0,8,0,67.375
テニス 肩の痛み,0,8,0,81.625
体育座りをすると腰が痛い,0,8,0,14.125
側 弯症 手術 後 できない こと,0,8,0,17.25
胸腰椎移行部 ストレッチ,0,8,0,8.625
ボストン型装具とは,0,7,0,1
反り腰 治し方 座り方,0,7,0,72.57142857142857
椎間板ヘルニア 紐解く,0,7,0,39.42857142857143
背骨の仕組み,0,7,0,39
腰 レントゲン,0,7,0,61
アキレス腱が硬い 原因,0,6,0,13.833333333333334
コード レッド 意味,0,6,0,76.16666666666667
テニス 肩 痛み,0,6,0,85.83333333333333
テニス 肩の痛み 治し方,0,6,0,58.833333333333336
テニス肩の痛み,0,6,0,57.666666666666664
デスクワーク 巻き肩 予防,0,6,0,55.5
バランスラボ整骨院,0,6,0,15.166666666666666
体操座りすると腰が痛い,0,6,0,10.5
体育座り 痛い,0,6,0,12.5
側 弯症 ストレッチで 治る,0,6,0,57
肩甲骨 はがれない人,0,6,0,75.83333333333333
オフィス症候群,0,5,0,18.2
スカート 回る と 広がる,0,5,0,73.8
スカートが回る 対策,0,5,0,10.2
デスクワーク 右肩が痛い,0,5,0,30.8
パルス磁場とは,0,5,0,3
ボストン型 装具,0,5,0,1
ミルウォーキー・ブレース,0,5,0,1.6
体育座り,0,5,0,1
側 弯症 手術 後,0,5,0,18.6
側 弯症 治し 方 ストレッチ,0,5,0,34.6
反り腰改善 座り方,0,5,0,75.4
新百合ヶ丘,0,5,0,3.2
筋性防御 なぜ,0,5,0,21.8
脊柱管狭窄症 タバコ,0,5,0,27
腰椎 椎間板 ヘルニア 初期 症状,0,5,0,90.4
風邪で腰が痛い,0,5,0,58.4
側湾症 筋肉,1,4,0.25,13.25
milwaukee 装具,0,4,0,1
physical balance,0,4,0,9.25
アキレス腱固い,0,4,0,20.75
スカート 回転する,0,4,0,10
タバコ 吸い 過ぎ 背中 痛い,0,4,0,12
タバコ吸うと背中痛い,0,4,0,9.5
テニス 左肩が痛い,0,4,0,10
テニス 肩痛い,0,4,0,73.5
テニス肩痛い,0,4,0,85.75
パルス電磁場 テラヘルツ,0,4,0,16.5
ボディメカニクス ベッドの高さ,0,4,0,29
ボディメカニクスとは わかりやすく,0,4,0,34.75
上を向く,0,4,0,58.25
側 弯症 装具 ボストン,0,4,0,5.25
側 弯症 装具 ミルウォーキー,0,4,0,1
側湾症 股関節 痛み,0,4,0,2.5
反り腰 椅子 座り方,0,4,0,19.25
胸腰筋膜 硬い,0,4,0,11.75
脛骨捻転,0,4,0,21.25
腰が痛い 風邪,0,4,0,58.25
腰のレントゲン,0,4,0,54.75
腰履きスカート,0,4,0,1
軸ズレとは,0,4,0,8
風邪 腰が痛い,0,4,0,60.5
体育座り 健康,1,3,0.3333333333333333,18
背中の痛み タバコ,1,3,0.3333333333333333,11
アキレス腱 硬い,0,3,0,40
アキレス腱が硬い,0,3,0,4.333333333333334
ゴルフ 内転筋 痛い,0,3,0,16
スカートが回る原因,0,3,0,13.666666666666666
