query,clicks,impressions,ctr,position
体育座り 腰痛 改善,2,362,0.0055248618784530384,10.088397790055248
ゴルフ 手首 痛い,0,263,0,47.741444866920155
栄 腰痛,0,236,0,78
体育座り 腰痛,0,179,0,12.519553072625698
上を向くと首が詰まる,4,165,0.024242424242424242,9.866666666666667
側弯症 術後 痛み,12,148,0.08108108108108109,8.506756756756758
体育座り 腰痛 原因,1,135,0.007407407407407408,10.385185185185184
側弯症 手術 痛み,7,120,0.058333333333333334,10.983333333333333
側弯症 手術後 背中の痛み,3,118,0.025423728813559324,9.889830508474576
側弯症 歩き方,1,117,0.008547008547008548,6.512820512820513
側弯症 股関節の痛み,5,103,0.04854368932038835,7.990291262135922
側弯症 手術後 できないこと,4,89,0.0449438202247191,18.382022471910112
整体 効果,0,82,0,81.9390243902439
側弯症 ミルウォーキー,0,78,0,1.4487179487179487
側弯症 装具 種類,4,72,0.05555555555555555,13.347222222222221
側弯症 ストレッチ,1,72,0.013888888888888888,34.06944444444444
側弯症 手術後 痛み いつまで,6,71,0.08450704225352113,11.352112676056338
産後 マッサージ 栄,0,60,0,69.9
風邪 腰痛,0,59,0,43.271186440677965
側弯症 股関節痛,2,58,0.034482758620689655,8.258620689655173
側弯症 装具 ミルウォーキー,2,58,0.034482758620689655,2.4827586206896552
側弯症 筋肉 バランス,2,53,0.03773584905660377,11.150943396226415
整体に行く理由,0,53,0,65.60377358490567
腰痛 体育座り,1,52,0.019230769230769232,13.211538461538462
上を向くと首が痛い,0,52,0,73.34615384615384
体育座り 腰痛い,1,50,0.02,12.74
介護 腰痛予防 ボディメカニクス,1,46,0.021739130434782608,44.47826086956522
側弯症手術後 痛み,1,46,0.021739130434782608,9.782608695652174
整体,0,46,0,24.41304347826087
整体 lab,0,44,0,24.931818181818183
側弯症 手術後 後悔,0,40,0,72.3
側弯症 手術 後遺症,2,39,0.05128205128205128,11.35897435897436
体育座り 腰痛原因,0,39,0,10.384615384615385
星ケ丘駅 整体,0,39,0,6.666666666666667
側弯症 やってはいけないストレッチ,0,37,0,60.32432432432432
整体 効果あるのか,0,37,0,63.75675675675676
側弯症 手術後 腰痛,2,33,0.06060606060606061,11.030303030303031
整体 メリット,0,32,0,77.40625
上を向く 首が詰まる,2,29,0.06896551724137931,8.89655172413793
体育座り腰痛い,1,29,0.034482758620689655,11.413793103448276
風邪 腰痛 関係,0,26,0,6.5
側弯症装具 種類,1,24,0.041666666666666664,13.25
上向くと首が詰まる,0,23,0,10.304347826086957
腰痛 栄,0,23,0,86.34782608695652
ゴルフ 手首 痛み,0,22,0,51.90909090909091
側弯症ラボ,0,22,0,11.363636363636363
首 上向くと詰まる,1,21,0.047619047619047616,10.095238095238095
脱力整体,0,21,0,10.619047619047619
側弯症 手術後 後遺症,1,19,0.05263157894736842,11.947368421052632
腰痛 体育 座り 痛い,0,19,0,44.68421052631579
側弯症 ぶら下がり 効果,0,18,0,23.333333333333332
腰痛 レントゲン,0,18,0,73.16666666666667
上 を 向く と 首 が 痛い,0,17,0,74.88235294117646
側弯症 筋肉,0,17,0,17.41176470588235
首 こり つらい,0,17,0,93.17647058823529
側弯症 歩行,0,16,0,10.75
側弯症 股関節,0,16,0,5.4375
冬 腰痛 悪化,0,16,0,50.25
腰痛 放置,0,16,0,67.375
風邪 腰痛い,0,16,0,64.5625
首が詰まるとは,0,16,0,10.75
看護師 腰痛 ボディメカニクス,0,14,0,12.071428571428571
腰痛 風邪,0,14,0,41.92857142857143
ゴルフ 右手首 痛い,0,13,0,20.846153846153847
側弯症 手術後 痛み,0,13,0,12.384615384615385
腰痛予防 ボディメカニクス,0,13,0,43.69230769230769
腹筋 首 痛い,0,13,0,42.07692307692308
側弯症 術後,2,12,0.16666666666666666,21.5
側弯症 骨盤,1,12,0.08333333333333333,7.416666666666667
側弯症 ストレッチ 効果,0,12,0,28.166666666666668
側弯症 歩行 特徴,0,12,0,11
