landingPage,sessions,newUsers,engagedSessions,avgSessionDuration_sec
/976,46,37,31,85.2
/,19,17,11,132.8
/965,15,15,12,133.02
(not set),12,0,1,8.48
/441,11,11,8,82.23
/1171,10,10,5,18.85
/1176,7,6,3,200.08
/1182,7,5,6,143.72
/317,4,4,3,40.43
/620,4,4,2,16.88
/932,4,2,2,323.92
/about,4,3,3,35.5
/1092,3,2,2,88.03
/584,3,3,2,51.4
/612,3,3,1,12.46
/469,2,2,2,34.91
/980,2,2,2,27.22
/guidance_category/sokuwanshou,2,0,2,127.07
/vision,2,1,2,281.72
/1058,1,1,0,0.0
/1127,1,1,0,0.0
/1169,1,1,0,0.0
/1173,1,1,1,67.51
/1179,1,1,0,0.0
/1191,1,1,0,0.0
/1489,1,1,0,0.0
/1581,1,1,1,8.75
/1668,1,1,0,0.0
/1699,1,1,1,227.79
/1714,1,1,1,86.05
/616,1,1,0,0.0
/648,1,1,0,0.0
/744,1,1,0,0.0
/824,1,1,0,0.0
/892,1,1,1,330.22
/923,1,1,1,365.63
/984,1,1,1,123.01
/995,1,1,1,54.51
/category/frozen-shoulder,1,1,0,0.0
/for-newcomers,1,1,1,66.24
/guidance/youtsu-1,1,1,0,0.0
/guidance_category/gojukata,1,0,0,251.05
/news/archives/date/2020/04,1,1,0,0.0
/news/archives/tag/O脚,1,1,0,0.0
/news/archives/tag/治療院/page:3,1,1,0,0.0
/news/sample-news5,1,1,1,56.5
/tag/五十肩,1,1,0,0.0
/tag/坐骨神経痛/page/12,1,1,0,5.0
