period,query,clicks,impressions,ctr,position
post,レッドコード 整体,125,1241,0.10072522159548751,3.364222401289283
post,レッドコード施術,73,560,0.13035714285714287,3.0767857142857142
post,レッドコード 名古屋,52,126,0.4126984126984127,1.9841269841269842
post,無重力整体 レッドコード,19,101,0.18811881188118812,4.386138613861386
post,無重力整体レッドコード,18,151,0.11920529801324503,4.245033112582782
post,レッド コード 整体,17,227,0.07488986784140969,4.6255506607929515
post,レッドコード整体,17,163,0.10429447852760736,3.226993865030675
post,レッドコード 施術,11,144,0.0763888888888889,1.8611111111111112
post,レッドコード 自律神経,5,35,0.14285714285714285,3.0285714285714285
post,レッドコード 施術所,4,75,0.05333333333333334,4.6
post,レッドコード,2,31,0.06451612903225806,9.96774193548387
post,レッドコード施術所,1,47,0.02127659574468085,3.021276595744681
post,レッドコード 手術,0,1,0,10
post,レッドコード 治療,0,14,0,2.071428571428571
post,レッドコード施術 関西,0,2,0,1
post,レッドコード施術とは,0,8,0,6.75
post,レッドコード背術,0,10,0,5.4
post,レッドロック 名古屋,0,1,0,5
