query,page,path_id,clicks,impressions,ctr,position
レッドコード 整体,https://physical-balance-lab.com/,,11,113,0.09734513274336283,4.814159292035399
無重力整体 レッドコード,https://physical-balance-lab.com/,,4,19,0.21052631578947367,5.368421052631579
レッドコード 名古屋,https://physical-balance-lab.com/,,3,16,0.1875,1.6875
レッドコード施術,https://physical-balance-lab.com/,,3,56,0.05357142857142857,3.5714285714285716
レッドコード整体,https://physical-balance-lab.com/,,2,16,0.125,4.8125
pemfとは,https://physical-balance-lab.com/441/,441,1,54,0.018518518518518517,3.388888888888889
pemfパルス電磁場療法とは,https://physical-balance-lab.com/441/,441,1,6,0.16666666666666666,2.333333333333333
よろしく,https://physical-balance-lab.com/news/%E3%80%90%E9%96%8B%E6%A5%AD10%E5%B9%B4%E3%80%82%E3%81%93%E3%81%93%E3%81%8B%E3%82%89%E3%81%8C%E6%9C%AC%E5%BD%93%E3%81%AE%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%88%EF%BC%81%E3%80%91/,,1,1,1,3
パルス電磁場とは,https://physical-balance-lab.com/441/,441,1,32,0.03125,1.9375
フィジカルバランスラボ整体院,https://physical-balance-lab.com/,,1,5,0.2,1.8
ボディメカニクスとは,https://physical-balance-lab.com/932/,932,1,97,0.010309278350515464,1
レッドコート施術,https://physical-balance-lab.com/about/,,1,1,1,9
レッドコード 愛知県,https://physical-balance-lab.com/,,1,4,0.25,2.75
レッドコード 施術,https://physical-balance-lab.com/,,1,12,0.08333333333333333,1.9166666666666665
レッドコード 施術所,https://physical-balance-lab.com/,,1,4,0.25,4
レッドコード施術 愛知県,https://physical-balance-lab.com/,,1,3,0.3333333333333333,1.6666666666666665
体育座り 反り腰,https://physical-balance-lab.com/1063/,1063,1,10,0.1,4.8
側 弯症 手術後 痛み いつまで,https://physical-balance-lab.com/976/,976,1,21,0.047619047619047616,10.095238095238095
側弯症 歩き方,https://physical-balance-lab.com/1182/,1182,1,8,0.125,4
側弯症 術後 痛み,https://physical-balance-lab.com/976/,976,1,8,0.125,6.375
