date,clicks,impressions,ctr,position
2024-11-26,0,39,0,29.333333333333332
2024-11-27,1,51,0.0196078431372549,31.54901960784314
2024-11-28,1,54,0.018518518518518517,32.66666666666667
2024-11-29,1,47,0.02127659574468085,44.8936170212766
2024-11-30,0,43,0,44.23255813953488
2024-12-01,0,46,0,31.456521739130434
2024-12-02,1,53,0.018867924528301886,31.150943396226417
2024-12-03,0,46,0,31.26086956521739
2024-12-04,1,37,0.02702702702702703,33.270270270270274
2024-12-05,1,51,0.0196078431372549,23.470588235294116
2024-12-06,2,37,0.05405405405405406,26.43243243243243
2024-12-07,1,27,0.037037037037037035,31.074074074074073
2024-12-08,5,42,0.11904761904761904,24.642857142857142
2024-12-09,1,53,0.018867924528301886,26.358490566037737
2024-12-10,0,31,0,33.935483870967744
2024-12-11,0,42,0,30.88095238095238
2024-12-12,1,25,0.04,22.64
2024-12-13,0,28,0,29.928571428571427
2024-12-14,0,33,0,29.727272727272727
2024-12-15,0,19,0,29.105263157894736
2024-12-16,0,39,0,29.641025641025642
2024-12-17,1,37,0.02702702702702703,27.54054054054054
2024-12-18,1,48,0.020833333333333332,35.520833333333336
2024-12-19,1,70,0.014285714285714285,34.785714285714285
2024-12-20,0,46,0,33.630434782608695
2024-12-21,0,38,0,39.421052631578945
2024-12-22,2,45,0.044444444444444446,33.82222222222222
2024-12-23,1,38,0.02631578947368421,25.394736842105264
2024-12-24,1,42,0.023809523809523808,29
2024-12-25,1,46,0.021739130434782608,31.956521739130434
2024-12-26,0,53,0,26.150943396226417
2024-12-27,1,44,0.022727272727272728,24.818181818181817
2024-12-28,1,32,0.03125,30.53125
2024-12-29,1,32,0.03125,36.6875
2024-12-30,1,42,0.023809523809523808,35.07142857142857
2024-12-31,1,20,0.05,35.55
2025-01-01,0,34,0,38.470588235294116
2025-01-02,0,35,0,33.97142857142857
2025-01-03,2,42,0.047619047619047616,32.14285714285714
2025-01-04,0,36,0,31.13888888888889
2025-01-05,1,34,0.029411764705882353,25.205882352941178
2025-01-06,3,53,0.05660377358490566,27.830188679245282
2025-01-07,0,42,0,47.357142857142854
2025-01-08,0,41,0,28.024390243902438
2025-01-09,0,57,0,32.45614035087719
2025-01-10,4,45,0.08888888888888889,31.22222222222222
2025-01-11,0,32,0,43.03125
2025-01-12,0,34,0,38.64705882352941
2025-01-13,2,59,0.03389830508474576,44.40677966101695
2025-01-14,2,62,0.03225806451612903,35.54838709677419
2025-01-15,0,37,0,31.135135135135137
2025-01-16,1,27,0.037037037037037035,34.55555555555556
2025-01-17,0,18,0,21.444444444444443
2025-01-18,2,31,0.06451612903225806,38.25806451612903
2025-01-19,1,52,0.019230769230769232,33.86538461538461
2025-01-20,2,31,0.06451612903225806,39.29032258064516
2025-01-21,0,26,0,23.96153846153846
2025-01-22,2,42,0.047619047619047616,40.45238095238095
2025-01-23,2,40,0.05,35.5
2025-01-24,1,29,0.034482758620689655,39.89655172413793
2025-01-25,1,27,0.037037037037037035,33.51851851851852
2025-01-26,0,28,0,36.964285714285715
2025-01-27,4,41,0.0975609756097561,25.24390243902439
2025-01-28,0,27,0,38.851851851851855
2025-01-29,0,24,0,39.041666666666664
2025-01-30,0,24,0,26.75
2025-01-31,4,46,0.08695652173913043,29.717391304347824
2025-02-01,2,21,0.09523809523809523,18.952380952380953
2025-02-02,2,33,0.06060606060606061,26.272727272727273
2025-02-03,2,40,0.05,28.1
2025-02-04,1,25,0.04,29.4
2025-02-05,0,25,0,23.2
2025-02-06,0,26,0,25.653846153846153
2025-02-07,3,33,0.09090909090909091,35.06060606060606
2025-02-08,0,33,0,29.09090909090909
2025-02-09,3,17,0.17647058823529413,22.705882352941178
2025-02-10,2,37,0.05405405405405406,25.243243243243242
2025-02-11,3,28,0.10714285714285714,12.892857142857142
2025-02-12,2,32,0.0625,20.65625
2025-02-13,1,29,0.034482758620689655,30.724137931034484
2025-02-14,2,21,0.09523809523809523,15.380952380952381
2025-02-15,0,29,0,26.75862068965517
2025-02-16,0,30,0,29.033333333333335
2025-02-17,0,43,0,38.81395348837209
2025-02-18,2,27,0.07407407407407407,26.37037037037037
2025-02-19,1,28,0.03571428571428571,28.964285714285715
2025-02-20,4,61,0.06557377049180328,18.901639344262296
2025-02-21,0,27,0,27.037037037037038
2025-02-22,2,33,0.06060606060606061,24.454545454545453
2025-02-23,2,31,0.06451612903225806,26.483870967741936
2025-02-24,1,41,0.024390243902439025,42
2025-02-25,0,25,0,32.120000000000005
2025-02-26,0,41,0,26.926829268292682
2025-02-27,5,33,0.15151515151515152,21.03030303030303
2025-02-28,3,44,0.06818181818181818,27.25
2025-03-01,24,170,0.1411764705882353,6.947058823529412
2025-03-02,3,45,0.06666666666666667,24.266666666666666
2025-03-03,4,42,0.09523809523809523,21.904761904761905
2025-03-04,3,40,0.075,12.725
2025-03-05,2,40,0.05,30.75
2025-03-06,3,33,0.09090909090909091,24.09090909090909
2025-03-07,2,33,0.06060606060606061,32.06060606060606
2025-03-08,2,23,0.08695652173913043,28.47826086956522
2025-03-09,2,33,0.06060606060606061,23.12121212121212
2025-03-10,1,26,0.038461538461538464,25.192307692307693
2025-03-11,1,43,0.023255813953488372,32
2025-03-12,0,20,0,31.7
2025-03-13,0,39,0,35.87179487179487
2025-03-14,0,25,0,30.4
2025-03-15,2,28,0.07142857142857142,33.357142857142854
2025-03-16,1,22,0.045454545454545456,35.81818181818182
2025-03-17,0,30,0,37.63333333333333
2025-03-18,1,18,0.05555555555555555,26.833333333333332
2025-03-19,1,39,0.02564102564102564,26.23076923076923
2025-03-20,1,49,0.02040816326530612,37.6530612244898
2025-03-21,0,37,0,27.783783783783782
2025-03-22,1,32,0.03125,22.0625
2025-03-23,4,26,0.15384615384615385,26.384615384615383
2025-03-24,1,38,0.02631578947368421,34.26315789473684
2025-03-25,1,27,0.037037037037037035,27.59259259259259
2025-03-26,0,25,0,24.08
2025-03-27,2,46,0.043478260869565216,28.456521739130434
2025-03-28,0,27,0,30.555555555555557
2025-03-29,0,32,0,31.21875
2025-03-30,1,39,0.02564102564102564,31.487179487179485
2025-03-31,1,32,0.03125,31.4375
2025-04-01,1,41,0.024390243902439025,31.902439024390244
2025-04-02,1,43,0.023255813953488372,20.209302325581394
2025-04-03,2,62,0.03225806451612903,35.306451612903224
