dateHour_raw,datetime_parsed,sessions,screenPageViews,totalUsers
2026031502,2026-03-15T02:00:00,1.0,1.0,1.0
2026031505,2026-03-15T05:00:00,1.0,1.0,1.0
2026031506,2026-03-15T06:00:00,2.0,2.0,2.0
2026031509,2026-03-15T09:00:00,1.0,1.0,1.0
2026031510,2026-03-15T10:00:00,2.0,2.0,2.0
2026031511,2026-03-15T11:00:00,2.0,1.0,2.0
2026031512,2026-03-15T12:00:00,1.0,3.0,1.0
2026031513,2026-03-15T13:00:00,1.0,2.0,1.0
2026031514,2026-03-15T14:00:00,1.0,1.0,1.0
2026031516,2026-03-15T16:00:00,1.0,2.0,1.0
2026031517,2026-03-15T17:00:00,4.0,4.0,4.0
2026031519,2026-03-15T19:00:00,1.0,1.0,1.0
2026031521,2026-03-15T21:00:00,2.0,3.0,2.0
2026031523,2026-03-15T23:00:00,1.0,1.0,1.0
2026031600,2026-03-16T00:00:00,1.0,1.0,1.0
2026031601,2026-03-16T01:00:00,3.0,9.0,3.0
2026031603,2026-03-16T03:00:00,1.0,1.0,1.0
2026031606,2026-03-16T06:00:00,2.0,2.0,2.0
2026031607,2026-03-16T07:00:00,1.0,1.0,1.0
2026031608,2026-03-16T08:00:00,1.0,1.0,1.0
2026031609,2026-03-16T09:00:00,4.0,4.0,4.0
2026031610,2026-03-16T10:00:00,1.0,8.0,1.0
2026031612,2026-03-16T12:00:00,1.0,2.0,1.0
2026031613,2026-03-16T13:00:00,2.0,3.0,2.0
2026031614,2026-03-16T14:00:00,4.0,8.0,4.0
2026031615,2026-03-16T15:00:00,2.0,1.0,2.0
2026031616,2026-03-16T16:00:00,1.0,1.0,1.0
2026031617,2026-03-16T17:00:00,2.0,2.0,2.0
2026031618,2026-03-16T18:00:00,1.0,1.0,1.0
2026031619,2026-03-16T19:00:00,2.0,2.0,2.0
2026031621,2026-03-16T21:00:00,2.0,8.0,2.0
2026031622,2026-03-16T22:00:00,4.0,17.0,4.0
2026031623,2026-03-16T23:00:00,1.0,1.0,1.0
2026031700,2026-03-17T00:00:00,5.0,6.0,5.0
2026031701,2026-03-17T01:00:00,1.0,5.0,1.0
2026031702,2026-03-17T02:00:00,2.0,4.0,2.0
2026031703,2026-03-17T03:00:00,1.0,1.0,1.0
2026031704,2026-03-17T04:00:00,1.0,1.0,1.0
2026031707,2026-03-17T07:00:00,2.0,3.0,2.0
2026031709,2026-03-17T09:00:00,1.0,2.0,1.0
2026031710,2026-03-17T10:00:00,1.0,4.0,1.0
2026031711,2026-03-17T11:00:00,2.0,4.0,2.0
2026031712,2026-03-17T12:00:00,3.0,4.0,3.0
2026031713,2026-03-17T13:00:00,1.0,2.0,1.0
2026031715,2026-03-17T15:00:00,1.0,1.0,1.0
2026031716,2026-03-17T16:00:00,1.0,1.0,1.0
2026031717,2026-03-17T17:00:00,1.0,2.0,1.0
2026031719,2026-03-17T19:00:00,1.0,1.0,1.0
2026031720,2026-03-17T20:00:00,3.0,3.0,3.0
2026031721,2026-03-17T21:00:00,4.0,9.0,4.0
2026031722,2026-03-17T22:00:00,1.0,1.0,1.0
2026031800,2026-03-18T00:00:00,2.0,2.0,2.0
2026031801,2026-03-18T01:00:00,1.0,1.0,1.0
2026031802,2026-03-18T02:00:00,1.0,1.0,1.0
2026031803,2026-03-18T03:00:00,1.0,1.0,1.0
2026031805,2026-03-18T05:00:00,1.0,0.0,1.0
2026031806,2026-03-18T06:00:00,1.0,1.0,1.0
2026031807,2026-03-18T07:00:00,2.0,2.0,2.0
2026031808,2026-03-18T08:00:00,1.0,1.0,1.0
2026031810,2026-03-18T10:00:00,2.0,2.0,2.0
2026031812,2026-03-18T12:00:00,3.0,4.0,3.0
2026031813,2026-03-18T13:00:00,1.0,1.0,1.0
2026031814,2026-03-18T14:00:00,2.0,1.0,2.0
2026031815,2026-03-18T15:00:00,2.0,2.0,2.0
2026031816,2026-03-18T16:00:00,2.0,8.0,2.0
2026031817,2026-03-18T17:00:00,1.0,0.0,1.0
2026031819,2026-03-18T19:00:00,5.0,4.0,4.0
2026031821,2026-03-18T21:00:00,665.0,3141.0,667.0
2026031822,2026-03-18T22:00:00,197.0,925.0,194.0
2026031823,2026-03-18T23:00:00,66.0,249.0,66.0
2026031900,2026-03-19T00:00:00,22.0,73.0,22.0
2026031901,2026-03-19T01:00:00,10.0,16.0,10.0
2026031902,2026-03-19T02:00:00,6.0,37.0,6.0
2026031903,2026-03-19T03:00:00,1.0,3.0,1.0
2026031904,2026-03-19T04:00:00,2.0,2.0,2.0
2026031905,2026-03-19T05:00:00,3.0,18.0,3.0
2026031906,2026-03-19T06:00:00,10.0,48.0,10.0
2026031907,2026-03-19T07:00:00,24.0,73.0,24.0
2026031908,2026-03-19T08:00:00,21.0,67.0,21.0
2026031909,2026-03-19T09:00:00,19.0,68.0,18.0
2026031910,2026-03-19T10:00:00,26.0,80.0,25.0
